# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
24.92007394,-44.96554787,8.67136876,-2.62508607,-0.72309540,1.58237400,1.58237400
25.02015456,-45.05485017,8.62483009,-2.70072215,-0.79358222,1.58237400,1.58237400
25.12023518,-45.14722524,8.58564531,-2.78393047,-0.85285789,1.58237400,1.58237400
25.22031579,-45.24223326,8.55479825,-2.87143124,-0.83485988,1.58237400,1.58237400
25.32039641,-45.33941497,8.53242184,-2.95103705,-0.70853906,1.58237400,1.58237400
25.42047703,-45.43827296,8.51698297,-3.01325330,-0.53064831,1.58237400,1.58237400
25.52055765,-45.53830539,8.50675529,-3.05725228,-0.35447656,1.58237400,1.58237400
25.62063827,-45.63901046,8.50001244,-3.08420576,-0.21366164,1.58237400,1.58237400
25.72071888,-45.73993182,8.49517186,-3.10001905,-0.13689596,1.58237400,1.58237400
25.82079950,-45.84091759,8.49161359,-3.11160703,-0.10465418,1.58237400,1.58237400
25.92088012,-45.94194081,8.48911268,-3.12096676,-0.08244009,1.58237400,1.58237400
26.02096074,-46.04297492,8.48744539,-3.12810834,-0.06029143,1.58237400,1.58237400
26.12104136,-46.14399337,8.48638797,-3.13303477,-0.03816262,1.58237400,1.58237400
26.22112198,-46.24496957,8.48571670,-3.13574701,-0.01602929,1.58237400,1.58237400
26.32120259,-46.34587697,8.48520782,-3.13624321,0.00613863,1.58237400,1.58237400
26.42128321,-46.44668899,8.48463760,-3.13451830,0.02837375,1.58237400,1.58237400
26.52136383,-46.54737909,8.48378230,-3.13056389,0.05070809,1.58237400,1.58237400
26.62144445,-46.64792067,8.48241818,-3.12436850,0.07316982,1.58237400,1.58237400
26.72152507,-46.74828719,8.48032149,-3.11591813,0.09577989,1.58237400,1.58237400
26.82160569,-46.84845208,8.47726849,-3.10519708,0.11854849,1.58237400,1.58237400
26.92168630,-46.94838877,8.47303546,-3.09218931,0.14147123,1.58237400,1.58237400
27.02176692,-47.04807069,8.46739864,-3.07688003,0.16452520,1.58237400,1.58237400
27.12184754,-47.14747128,8.46013429,-3.05925775,0.18766488,1.58237400,1.58237400
27.22192816,-47.24656398,8.45101868,-3.03931679,0.21081814,1.58237400,1.58237400
27.32200878,-47.34532221,8.43982807,-3.01706013,0.23388242,1.58237400,1.58237400
27.42208939,-47.44371941,8.42633870,-2.99250260,0.25672175,1.58237400,1.58237400
27.52217001,-47.54172902,8.41032685,-2.96567439,0.27914047,1.58237400,1.58237400
27.62225063,-47.63932447,8.39156878,-2.93662950,0.29466851,1.58237400,1.58237400
27.72233125,-47.73647931,8.36984170,-2.90669317,0.28261463,1.58237400,1.58237400
27.82241187,-47.83319570,8.34517202,-2.88006100,0.23332259,1.58237400,1.58237400
27.92249249,-47.92954240,8.31816600,-2.85999104,0.16615012,1.58237400,1.58237400
28.02257310,-48.02559765,8.28951222,-2.84680419,0.09918860,1.58237400,1.58237400
28.12265372,-48.12143966,8.25989924,-2.84013732,0.05469960,1.58237400,1.58237400
28.22273434,-48.21713388,8.22995756,-2.83585545,0.06320578,1.58237400,1.58237400
28.32281496,-48.31258095,8.19956861,-2.82748597,0.11764859,1.58237400,1.58237400
28.42289558,-48.40756698,8.16809316,-2.81230676,0.18438314,1.58237400,1.58237400
28.52297620,-48.50187573,8.13488144,-2.79057962,0.23064994,1.58237400,1.58237400
28.62305681,-48.59531237,8.09934513,-2.76613959,0.22957258,1.58237400,1.58237400
28.72313743,-48.68791151,8.06155545,-2.74462809,0.18955268,1.58237400,1.58237400
28.82321805,-48.77984719,8.02198449,-2.72819849,0.13870025,1.58237400,1.58237400
28.92329867,-48.87129545,7.98110996,-2.71686567,0.09240123,1.58237400,1.58237400
29.02337929,-48.96243229,7.93940960,-2.70970334,0.07754654,1.58237400,1.58237400
29.12345990,-49.05335175,7.89719844,-2.70134386,0.11861703,1.58237400,1.58237400
29.22354052,-49.14374653,7.85399527,-2.68596081,0.19579941,1.58237400,1.58237400
29.32362114,-49.23318676,7.80907568,-2.66215241,0.27776258,1.58237400,1.58237400
29.42370176,-49.32124253,7.76171517,-2.63036351,0.33365154,1.58237400,1.58237400
29.52378238,-49.40753096,7.71127319,-2.59536830,0.33289155,1.58237400,1.58237400
29.62386300,-49.49208696,7.65785504,-2.56373153,0.28802653,1.58237400,1.58237400
29.72394361,-49.57516438,7.60195680,-2.53771656,0.23195811,1.58237400,1.58237400
29.82402423,-49.65701896,7.54407798,-2.51730250,0.18061713,1.58237400,1.58237400
29.92410485,-49.73790581,7.48471696,-2.50156401,0.14711219,1.58237400,1.58237400
